record_id,orig_monthly,orig_total,injected_error_type
555,80.35,2596.15,none
556,68.75,3808.0,none
557,19.9,19.9,none
558,70.6,2708.2,none
559,70.2,760.05,none
560,49.3,49.3,none
561,107.25,6033.3,none
562,23.6,89.05,none
563,69.7,516.15,none
564,99.5,5861.75,none
565,64.3,445.95,none
566,70.85,4973.4,none
567,101.9,1667.25,none
568,73.5,5357.75,none
569,100.25,3527.6,none
570,40.4,422.6,none
571,19.25,1103.25,none
572,59.6,2754.0,none
573,64.9,697.25,none
574,100.3,5614.45,none
575,110.85,3204.4,none
576,81.05,4747.65,none
577,98.05,3082.1,none
578,70.5,597.9,none
579,94.55,3365.4,none
580,19.65,38.8,none
581,19.0,233.55,none
582,75.3,75.3,none
583,89.2,346.2,none
584,19.0,19.0,none
585,20.0,61.7,none
586,85.7,85.7,none
587,63.25,3342.45,none
588,20.1,85.1,zero_monthly
589,99.15,7422.1,none
590,90.4,6668.05,none
591,111.9,8071.05,none
592,24.9,1174.8,none
593,83.5,5435.0,none
594,84.3,2438.6,none
595,45.6,45.6,none
596,61.65,713.75,none
597,54.85,916.15,none
598,65.55,237.2,none
599,90.35,4614.55,none
600,20.4,1414.45,none
601,74.55,1170.5,none
602,19.95,47.7,none
603,74.25,4859.25,none
604,108.65,4903.2,none
605,109.55,3608.0,none
606,86.65,6094.25,none
607,81.0,3084.9,none
608,47.85,2356.75,none
609,114.55,8306.05,none
610,105.25,6786.4,overbilled_monthly
611,29.95,248.95,none
612,65.0,663.05,none
613,20.55,1357.1,none
614,109.8,4860.35,none
615,69.5,3418.2,none
616,48.85,631.4,none
617,25.25,186.3,total_missing
618,102.85,6976.75,none
619,87.55,4884.85,none
620,78.55,522.95,none
621,34.55,362.6,none
622,92.05,5755.8,none
623,85.05,3355.65,none
624,19.7,406.95,none
625,20.0,137.6,none
626,95.15,2395.7,none
627,84.25,1968.1,none
628,104.6,6819.45,none
629,111.65,7943.45,none
630,90.05,4547.25,none
631,110.75,4687.9,overbilled_monthly
632,55.0,2473.95,none
633,89.85,6562.9,total_missing
634,20.35,176.3,none
635,54.55,2236.2,none
636,105.5,6985.65,none
637,99.45,3109.9,none
638,70.9,4911.35,none
639,104.55,5794.65,none
640,85.25,855.3,none
641,25.4,1620.2,none
642,56.15,2499.3,none
643,89.55,89.55,none
644,89.85,4287.2,none
645,25.25,394.85,total_decimal_shift
646,94.55,1899.65,none
647,45.7,45.7,none
648,69.65,3442.15,none
649,89.5,161.5,none
650,70.0,1732.6,none
651,69.55,222.3,none
652,74.6,74.6,none
653,20.1,655.3,none
654,24.8,475.25,none
655,19.65,164.3,none
656,95.1,865.1,none
657,88.85,6132.7,none
658,78.8,3597.5,none
659,19.85,35.9,none
660,20.35,697.65,none
661,24.25,96.05,none
662,45.25,428.7,none
663,20.05,20.05,none
664,69.55,4459.15,none
665,19.5,1167.6,none
666,74.75,238.1,none
667,69.65,145.15,none
668,30.2,1453.1,none
669,45.65,191.05,none
670,57.8,4039.3,none
671,19.85,1039.45,none
672,25.55,1336.1,none
673,75.05,75.05,zero_monthly
674,24.85,493.4,none
675,49.15,2550.9,none
676,110.35,7246.15,none
677,24.55,1203.95,none
678,34.7,62.25,none
679,107.95,313.6,none
680,81.4,3775.85,none
681,80.0,80.0,none
682,73.8,4616.05,none
683,64.4,195.65,none
684,103.75,4188.4,none
685,71.1,71.1,none
686,49.9,49.9,none
687,24.6,1266.4,none
688,49.25,91.1,none
689,30.1,1623.4,none
690,83.4,4149.45,none
691,20.45,20.45,none
692,75.25,2344.5,none
693,20.55,1013.05,none
694,75.1,270.7,none
695,20.05,417.0,none
696,20.65,20.65,none
697,85.15,6316.2,none
698,50.15,168.15,none
699,84.95,4018.05,none
700,66.5,4811.6,none
701,63.3,4189.7,none
702,83.15,2848.45,none
703,84.9,2516.2,none
704,20.55,33.6,none
705,49.25,208.45,none
706,79.85,2015.35,none
707,59.6,3739.8,none
708,104.65,2964.0,none
709,75.3,2263.4,none
710,80.1,2211.8,none
711,19.55,19.55,none
712,81.0,1683.7,none
713,24.7,1519.0,none
714,86.0,1164.05,none
715,25.4,1710.9,none
716,89.15,4245.55,none
717,58.25,4145.9,none
718,85.65,2664.3,none
719,50.35,1277.5,none
720,80.35,5589.3,none
721,20.2,34.75,none
722,20.55,1305.95,none
723,85.95,381.3,none
724,45.35,141.5,none
725,94.5,3105.55,none
726,21.25,204.55,none
727,26.25,605.9,none
728,80.85,356.1,none
729,91.7,2758.15,none
730,74.2,4805.65,none
731,87.25,3941.7,none
732,20.35,92.75,none
733,75.5,1901.05,none
734,79.05,5730.7,none
735,90.15,2423.4,none
736,50.6,1653.45,none
737,110.45,3327.05,none
738,101.0,7085.5,none
739,79.35,3344.1,none
740,89.85,6697.35,none
741,65.0,2879.9,none
742,80.45,137.1,none
743,98.55,1008.55,none
744,24.1,1551.6,zero_monthly
745,44.05,202.15,none
746,110.8,7882.25,none
747,114.95,8196.4,none
748,75.05,202.9,none
749,19.25,855.1,none
750,90.05,5817.0,none
751,56.7,1652.95,none
752,80.15,5600.15,none
753,71.35,515.75,none
754,20.25,0.0,none
755,90.35,190.5,none
756,98.55,1842.8,none
757,19.7,1253.8,none
758,19.85,57.2,none
759,85.9,1269.55,none
760,90.35,6563.4,none
761,20.8,20.8,none
762,89.25,1907.85,none
763,70.3,208.85,none
764,66.85,4758.8,none
765,19.9,1292.6,none
766,35.8,363.15,none
767,78.85,1600.25,none
768,20.4,275.7,none
769,74.25,3089.1,none
770,64.8,1175.6,none
771,20.45,237.3,none
772,93.35,1444.65,none
773,19.9,19.9,none
774,88.9,454.15,none
775,95.8,3036.75,none
776,110.65,8065.65,none
777,40.3,92.5,none
778,82.0,184.65,none
779,107.0,6152.3,none
780,45.35,89.5,none
781,73.35,5154.5,none
782,44.8,220.45,none
783,54.75,1510.3,none
784,52.2,52.2,none
785,40.6,2588.95,none
786,110.0,4874.8,none
787,55.3,3983.6,none
788,60.85,2003.6,none
789,78.4,1832.4,none
790,69.65,4908.25,none
791,59.85,3590.2,none
792,76.9,5023.0,none
793,19.85,146.6,none
794,67.65,2339.3,none
795,45.0,298.7,none
796,64.2,143.65,none
797,81.7,2548.65,zero_monthly
798,25.55,507.4,none
799,20.0,20.0,none
800,96.75,6125.4,none
801,75.65,5411.4,none
802,98.5,1058.25,none
803,23.8,903.8,none
804,64.2,3009.5,none
805,85.35,489.45,none
806,76.8,5468.45,none
807,55.2,1058.1,none
808,108.55,7616.0,none
809,101.3,4113.1,none
810,69.55,69.55,none
811,103.25,6017.65,none
812,104.0,7250.15,none
813,25.25,1108.2,none
814,30.4,938.65,none
815,20.05,94.15,none
816,84.6,2088.05,none
817,86.2,178.7,none
818,103.7,5656.75,none
819,111.2,2317.1,none
820,88.0,5986.45,none
821,106.35,6751.35,none
822,79.15,3566.6,none
823,103.1,4889.3,none
824,63.95,318.1,none
825,25.8,1563.95,none
826,89.45,1430.25,none
827,95.6,644.35,none
828,25.55,372.45,none
829,90.95,5453.4,none
830,44.85,1442.6,none
831,108.55,5610.7,total_decimal_shift
832,25.05,963.95,none
833,74.1,5222.3,none
834,88.8,3340.55,none
835,78.85,292.8,none
836,93.25,5774.55,none
837,71.4,4487.3,none
838,44.4,44.4,none
839,79.2,2854.95,none
840,20.4,905.55,none
841,100.0,5509.3,none
842,105.0,7589.8,none
843,19.8,229.6,none
844,30.85,394.1,none
845,89.9,89.9,none
846,20.55,295.95,none
847,84.85,5459.2,none
848,33.15,444.75,none
849,92.0,6782.15,none
850,89.8,6510.45,none
851,115.8,8476.5,none
852,85.15,4461.85,none
853,24.85,62.0,none
854,64.35,352.65,none
855,20.5,1424.9,none
856,100.15,6413.65,none
857,86.05,6309.65,none
858,50.8,50.8,none
859,89.0,5898.6,none
860,64.8,4719.75,none
861,19.8,457.3,none
862,93.4,5822.3,none
863,73.65,1463.5,none
864,95.1,307.4,none
865,94.65,2104.55,none
866,80.6,319.15,none
867,39.0,2337.45,none
868,20.5,104.3,none
869,85.55,5084.65,none
870,26.4,121.25,none
871,98.2,7015.9,none
872,97.55,5598.0,none
873,19.95,1269.1,none
874,50.8,3027.4,none
875,99.7,4634.35,none
876,34.8,113.95,none
877,105.1,1582.75,none
878,60.15,3077.0,none
879,64.75,4039.5,none
880,54.65,1665.2,none
881,110.1,1043.3,none
882,19.3,504.2,none
883,83.9,497.55,none
884,111.25,7511.65,total_decimal_shift
885,35.8,1782.0,none
886,20.05,20.05,none
887,84.35,609.65,none
888,110.5,2857.6,none
889,91.2,3247.55,none
890,100.55,6215.35,none
891,89.3,2823.0,none
892,103.85,5017.9,none
893,81.1,2619.25,none
894,24.6,24.6,none
895,81.2,4965.1,none
896,94.3,2679.7,none
897,116.1,8310.55,none
898,105.55,5682.25,total_missing
899,98.9,1120.95,none
900,94.4,4914.9,none
901,19.5,27.55,none
902,98.3,923.5,none
903,93.85,1625.65,none
904,105.6,6068.65,none
905,81.35,5398.6,none
906,100.5,918.6,none
907,56.4,234.85,none
908,65.35,1231.85,none
909,19.95,170.9,none
910,111.25,7984.15,none
911,72.85,688.65,none
912,89.0,1288.3,none
913,106.1,7848.5,none
914,20.05,267.0,none
915,25.2,1798.9,none
916,73.55,73.55,none
917,75.4,1643.55,none
918,65.55,4807.45,none
919,80.7,2193.0,none
920,104.55,2239.4,none
921,24.15,1505.9,none
922,20.45,255.35,none
923,75.4,1189.4,none
924,79.7,4786.15,none
925,81.7,1820.9,none
926,76.3,2404.15,none
927,79.4,205.05,none
928,81.15,952.3,none
929,103.75,7039.45,none
930,86.45,2538.05,none
931,75.1,1212.85,none
932,80.6,2651.1,none
933,19.3,1304.8,none
934,84.6,360.1,none
935,33.6,435.45,none
936,83.25,308.05,none
937,80.85,0.0,none
938,79.05,434.5,none
939,108.05,7118.9,none
940,19.9,320.45,none
941,21.05,531.55,none
942,30.15,382.2,none
943,79.85,2001.0,none
944,65.5,4919.7,none
945,104.1,5645.8,none
946,74.4,215.8,none
947,20.5,77.6,none
948,91.35,2896.55,none
949,99.05,3395.8,none
950,20.5,759.35,none
951,44.95,85.15,none
952,75.6,535.55,none
953,55.1,1253.15,none
954,58.95,955.15,none
955,95.1,2162.6,none
956,44.7,44.7,none
957,25.45,1813.35,none
958,56.75,245.15,none
959,81.75,2028.8,none
960,86.1,2723.75,none
961,29.8,220.45,none
962,20.5,365.8,none
963,60.9,551.95,none
964,73.25,4054.2,none
965,45.7,45.7,none
966,100.3,832.35,none
967,19.25,112.3,none
968,20.85,60.65,none
969,77.35,5550.1,none
970,96.0,174.8,none
971,90.55,90.55,total_missing
972,93.85,4733.1,none
973,70.1,4048.95,none
974,30.35,1359.7,overbilled_monthly
975,75.95,4542.35,none
976,108.05,7532.15,none
977,69.9,69.9,none
978,75.25,888.65,none
979,103.75,6383.35,none
980,54.95,1916.0,none
981,19.5,413.0,none
982,19.6,808.95,none
983,47.85,1886.4,none
984,86.6,86.6,none
985,23.75,1679.25,none
986,80.6,2656.5,none
987,43.8,540.95,none
988,19.75,19.75,none
989,19.15,537.35,none
990,19.6,678.8,none
991,80.3,4513.65,none
992,24.35,1423.85,none
993,25.25,555.4,none
994,26.1,225.55,none
995,20.0,268.45,none
996,85.3,2917.5,none
997,70.0,2416.1,none
998,94.3,424.45,none
999,20.7,1492.1,none
1000,70.3,132.4,none
1001,95.35,660.9,none
1002,75.5,1893.95,none
1003,69.55,284.9,none
1004,19.85,784.25,none
1005,20.0,417.7,none
1006,95.85,5016.25,none
1007,90.1,1612.75,none
1008,68.95,119.75,none
1009,99.55,3204.65,none
1010,20.75,485.2,none
1011,50.15,160.85,none
1012,58.65,4145.25,none
1013,95.9,827.45,none
1014,49.5,49.5,none
1015,57.45,990.85,none
1016,53.65,696.35,none
1017,80.1,5585.4,none
1018,24.4,1601.2,none
1019,40.05,162.45,none
1020,19.5,470.2,none
1021,51.05,2066.0,none
1022,54.35,1426.45,none
1023,84.7,392.5,none
1024,86.1,3861.45,none
1025,70.35,2552.9,none
1026,110.0,6668.35,none
1027,100.6,819.4,none
1028,94.9,4615.25,none
1029,83.75,2070.6,none
1030,88.3,273.75,none
1031,69.75,3557.7,none
1032,71.6,1957.1,none
1033,92.1,729.95,none
1034,23.65,1416.75,none
1035,81.85,5924.4,none
1036,25.1,1697.7,none
1037,114.7,7849.85,none
1038,49.15,649.4,none
1039,80.9,4557.5,none
1040,79.45,3013.05,none
1041,90.45,1266.1,none
1042,19.3,360.35,none
1043,70.2,1046.5,none
1044,69.75,2347.9,none
1045,54.25,447.75,none
1046,99.3,4209.95,none
1047,74.0,3877.65,none
1048,50.25,152.3,none
1049,19.8,572.2,none
1050,19.65,19.65,none
1051,43.65,526.95,none
1052,35.5,552.7,none
1053,80.75,3208.65,none
1054,39.5,210.75,none
1055,97.1,3706.95,none
1056,19.55,620.75,none
1057,80.0,412.5,none
1058,84.7,832.05,none
1059,89.55,185.55,none
1060,90.6,1943.2,none
1061,20.05,505.9,none
1062,112.4,8046.85,none
1063,50.2,1815.3,none
1064,62.25,612.95,none
1065,55.7,795.15,zero_monthly
1066,90.05,2169.8,none
1067,19.65,973.1,none
1068,89.25,2210.2,none
1069,99.05,4853.75,none
1070,54.0,1055.9,overbilled_monthly
1071,69.75,144.55,none
1072,49.05,91.1,none
1073,56.75,1304.85,none
1074,98.05,713.0,none
1075,21.1,21.1,none
1076,96.65,5580.8,none
1077,24.5,1497.9,none
1078,114.5,4527.45,none
1079,79.2,4590.35,none
1080,69.55,200.2,none
1081,20.05,614.45,none
1082,98.85,4564.9,none
1083,25.75,0.0,none
1084,80.95,171.15,none
1085,19.6,1012.4,none
1086,74.3,940.35,none
1087,89.7,1047.7,none
1088,87.65,2766.4,none
1089,100.45,1622.45,none
